latitude,longitude,time,severity
1.4003694854320057,103.85928802707812,2023-11-22 17:19:46.444595,6
1.418670830300966,103.80100636956561,2024-02-09 12:29:11.444595,5
1.4063039713678809,103.84758261958572,2024-04-06 00:32:55.444595,2
1.3999371501296587,103.87087703909411,2023-09-27 18:08:38.444595,1
1.3866020279272795,103.80439754320241,2024-03-27 07:33:29.444595,3
1.4110483524373323,103.88795214830238,2024-05-01 10:49:48.444595,6
1.3881345932388962,103.85200814166357,2023-09-06 14:09:45.444595,5
1.4380950300860287,103.80306610483257,2024-03-03 15:28:33.444595,3
1.4460029036551132,103.82244136119208,2023-08-08 04:14:26.444595,8
1.3821785670708355,103.89536756964273,2023-08-11 13:14:47.444595,4
1.427089754189093,103.85823197330521,2023-12-20 21:19:19.444595,6
1.3981784411728195,103.81074725677688,2023-11-29 00:19:54.444595,7
1.4024849017203325,103.82875445022806,2023-12-17 23:13:14.444595,5
1.4418156302121927,103.84567036258605,2023-08-06 01:54:56.444595,9
1.3478139664017676,103.80209500692678,2024-05-13 12:46:25.444595,1
1.3495842229671695,103.84116155136138,2024-05-05 10:44:59.444595,1
1.342224023718436,103.84894586354348,2023-09-17 15:50:11.444595,3
1.4315881830102732,103.82436778752812,2024-03-29 00:14:54.444595,7
1.4255972426044836,103.8588639000292,2023-08-10 06:40:59.444595,2
1.43570133630715,103.87532401195922,2023-09-24 18:58:42.444595,6
1.447648017645604,103.82358342241056,2023-10-18 04:30:00.444595,6
1.4279074420638396,103.862049990028,2023-11-14 03:12:49.444595,3
1.3907627298478225,103.86396222429637,2023-12-30 15:52:23.444595,4
1.4258582093915102,103.8948540301129,2024-02-10 03:50:35.444595,4
1.3530101868455828,103.87782761672965,2024-01-21 05:43:42.444595,4
1.4103913123460277,103.884834526979,2023-06-22 22:58:01.444595,9
1.3557688616149952,103.84904199084363,2024-03-25 02:57:40.444595,6
1.4439135808754542,103.81853485869793,2024-01-28 12:09:54.444595,6
1.3974033153925078,103.89958152929597,2024-04-17 12:26:05.444595,2
1.3856128133989576,103.81293557610387,2024-01-16 16:39:13.444595,9
1.369101117331509,103.84714573193543,2023-08-21 16:06:42.444595,8
1.4251657058377638,103.8068093099242,2023-07-11 07:12:48.444595,8
1.3901765365438203,103.89438508573508,2023-07-25 01:03:53.444595,2
1.4025277343755513,103.89649249408485,2024-04-05 16:11:10.444595,1
1.3420668780479992,103.8719389062004,2024-04-26 12:11:40.444595,5
1.4079399046783465,103.83499928436302,2023-08-15 12:42:23.444595,7
1.4073305294994665,103.82543824011177,2023-06-09 13:51:01.444595,1
1.4078627396562233,103.8265303324537,2023-09-23 03:38:36.444595,4
1.4438122886366087,103.812729402542,2023-07-05 23:31:25.444595,4
1.415000232901383,103.85258089530767,2023-06-06 04:05:03.444595,5
1.3795458690631166,103.81418172757014,2023-12-15 16:41:07.444595,2
1.3880735149179275,103.83167306665534,2024-03-15 21:11:29.444595,1
1.4167394315519992,103.86267064759592,2023-09-24 02:41:50.444595,5
1.3466248018792197,103.87275436095908,2023-12-27 13:59:46.444595,7
1.4133443386990234,103.8024272704622,2023-07-31 11:59:06.444595,9
1.4137701656579975,103.84301159843767,2024-03-11 17:05:51.444595,3
1.3631420817181226,103.86521245948421,2024-01-10 04:05:03.444595,2
1.354181892742034,103.88532459761585,2023-12-16 06:35:41.444595,3
1.3746971186016603,103.84753247822121,2024-05-30 10:45:44.444595,2
1.3800081848036885,103.89692058717178,2023-05-31 15:02:08.444595,1
1.4027216447459667,103.82656325475415,2023-07-21 16:31:15.444595,2
1.3882461664808552,103.80135087066267,2023-06-11 04:11:21.444595,7
1.4487211221865148,103.84837528647017,2023-09-05 21:13:07.444595,5
1.351224929182283,103.825611379502,2023-12-25 02:02:16.444595,5
1.3629764431704319,103.88237176720232,2023-06-10 12:53:03.444595,6
1.3577440469673496,103.82327726721812,2023-09-02 03:14:28.444595,4
1.411841915801194,103.83106292182913,2024-04-07 23:37:18.444595,7
1.367862076279376,103.87912274310192,2024-05-16 13:09:01.444595,1
1.3912941850141938,103.87151432520254,2024-02-15 04:06:19.444595,3
1.3668868151201763,103.85580512366573,2024-03-04 14:01:51.444595,1
1.3574866542010073,103.87049480619228,2023-09-06 03:49:04.444595,8
1.3521412655280736,103.841863686357,2023-11-15 17:33:05.444595,8
1.4121962548411802,103.80053100476147,2023-12-02 00:09:40.444595,2
1.3552001246483476,103.80113551285122,2024-04-28 18:39:26.444595,5
1.361624059784806,103.85112217875736,2023-12-07 09:15:02.444595,9
1.380559768772706,103.80832909797189,2023-12-19 01:00:34.444595,1
1.4303092552832728,103.80510754801692,2023-10-26 02:08:13.444595,4
1.3506811403372367,103.89655166391375,2023-10-17 13:10:29.444595,5
1.4321739398248683,103.88590026396581,2023-08-23 03:29:26.444595,7
1.350570824868336,103.81520272272095,2024-01-06 05:52:41.444595,2
1.4474105411514735,103.80006642185901,2023-11-03 23:19:32.444595,4
1.3915516321812471,103.89416677953898,2024-03-04 10:45:19.444595,4
1.447443719700937,103.82783252983201,2024-05-19 02:29:01.444595,3
1.406533007171955,103.81858976028555,2024-04-01 04:37:09.444595,5
1.421318993733813,103.86915081078315,2023-11-12 23:52:16.444595,5
1.3443106571479753,103.81089037388413,2024-05-19 17:42:04.444595,5
1.3711087658834051,103.82646495980028,2023-07-10 00:14:44.444595,6
1.3532216217334487,103.89750946802121,2024-03-18 03:54:49.444595,9
1.372575421727436,103.8639462774474,2024-04-01 01:55:31.444595,4
1.353060049084967,103.85206777914826,2023-09-14 06:06:39.444595,7
1.3749781497333373,103.83979186148349,2024-01-27 00:11:24.444595,6
1.3855689293966138,103.87745009548843,2023-06-25 07:20:38.444595,4
1.3470562245983664,103.81409574765237,2023-07-06 21:14:22.444595,4
1.416171933130702,103.8967337802037,2024-04-18 03:42:53.444595,8
1.4023261599627233,103.88611230080659,2024-05-13 16:32:33.444595,1
1.369192844003339,103.86176569825693,2024-04-04 10:53:44.444595,8
1.397557285881337,103.80429061904026,2023-10-26 21:00:46.444595,5
1.3503334561834286,103.87008556494477,2023-11-23 02:11:01.444595,1
1.4033541145111796,103.89132843408855,2024-03-24 12:14:10.444595,6
1.4422225817333836,103.85245770674787,2024-05-20 05:16:28.444595,4
